unlocode,name,municipality,iso_country,lat,lon
EESUR,Suurpea,Suurpea,EE,59.63333,25.68333
EESUS,Suursadam,Suursadam,EE,58.96667,22.91667
EESVI,Sviby,Sviby,EE,58.96667,23.31667
EESVS,Saastna Vanasadam,Saastna Vanasadam,EE,58.73333,23.56667
EETAL,Taaliku Sadam,Taaliku Sadam,EE,58.6,22.98333
EETGI,Triigi,Triigi,EE,58.6,22.71667
EETIL,Tilgu,Tilgu,EE,57.7670295,26.8976578
EETJA,Turja Sadam,Turja Sadam,EE,58.33333,22.93333
EETJS,Tori Jõesadam,Tori Jõesadam,EE,58.25,22.46667
EETLL,Tallinn,Tallinn,EE,59.43333,24.73333
EETLT,Tuletorni,Tuletorni,EE,58.78333,22.76667
EETLV,Talvesadam,Talvesadam,EE,58.38333,24.5
EETMA,Tärkma,Tärkma,EE,58.68333,22.6
EETMN,Tammneeme Sadam,Tammneeme Sadam,EE,59.51667,24.88333
EETOI,Toila,Toila,EE,59.43333,27.53333
EETPL,Tapurla,Tapurla,EE,59.6,25.56667
EETRE,Treimani,Treimani,EE,57.91667,24.38333
EETRU,Turusadam,Turusadam,EE,58.36667,26.73333
EETRV,Tarvastu,Tarvastu,EE,58.25,25.96667
EEUIS,Uisusadam,Uisusadam,EE,58.55,23.08333
EEURE,Kuressaare,Kuressaare,EE,58.25,22.5
EEURG,Ürgoru Paadisadam,Ürgoru Paadisadam,EE,58.36667,26.98333
EEVAN,Vanasadam,Vanasadam,EE,59.45,24.76667
EEVAR,Värssu,Värssu,EE,58.93333,22.95
EEVDU,Võidu,Võidu,EE,58.1541491,24.5788753
EEVEB,Vene-Balti,Vene-Balti,EE,59.45,24.65
EEVEE,Veere,Veere,EE,58.46667,22.05
EEVER,Vergi,Vergi,EE,59.5884204,26.0527417
EEVIK,Vikati Sadam,Vikati Sadam,EE,58.36667,21.86667
EEVIN,Viinistu Sadam,Viinistu Sadam,EE,59.65,25.75
EEVIR,Virtsu,Virtsu,EE,58.58333,23.51667
EEVIS,Virtsu Kalasadam,Virtsu Kalasadam,EE,58.58333,23.51667
EEVLR,Valmeranna,Valmeranna,EE,58.5,23.23333
EEVNA,Vasknarva,Vasknarva,EE,59,27.73333
EEVNJ,Varnja Sadam,Varnja Sadam,EE,58.48333,27.25
EEVOI,Võiste,Võiste,EE,58.21667,24.46667
EEVOK,Võõpsu Külasadam,Võõpsu Külasadam,EE,58.06667,27.55
EEVOP,Võõpsu,Võõpsu,EE,58.08333,27.55
EEVOS,Võsu,Võsu,EE,59.58333,25.96667
EEVPA,Vahtrepa Sadam,Vahtrepa Sadam,EE,58.88333,23.01667
EEVPS,Varbla Puhkeküla,Varbla Puhkeküla,EE,58.43333,23.68333
EEVRA,Värska Sadam,Värska Sadam,EE,57.95,27.61667
EEVRI,Värati,Värati,EE,58.31667,23.98333
EEVRK,Võrkaia,Võrkaia,EE,58.68333,23.2
EEVRS,Varese Sadam,Varese Sadam,EE,58.58333,22.4
EEVSG,Vana-Sauga Sadam,Vana-Sauga Sadam,EE,58.38333,24.48333
EEVTR,Väike-Turu,Väike-Turu,EE,58.38333,26.73333
EEVUS,Vasknarva Uussadam,Vasknarva Uussadam,EE,59.01667,27.73333
EEVVM,Veere Vanasadam,Veere Vanasadam,EE,58.46667,22.05
EEVVN,Vasknarva Paadisadam,Vasknarva Paadisadam,EE,59,27.73333
EEVVS,Virtsu Vanasadam,Virtsu Vanasadam,EE,58.58333,23.56667
EEWJS,Westmeri Jahisadam,Westmeri Jahisadam,EE,58.96667,23.53333
EEWST,Westmeri,Westmeri,EE,58.96667,23.51667
EGADA,Al Adabiyah,Al Adabiyah,EG,29.86667,32.46667
EGAGN,Abu Ghosoun,Abu Ghosoun,EG,24.45,35.2
EGAIS,Ain Sukhna,Ain Sukhna,EG,29.645,32.334445
EGAKI,Abu Kir,Abu Kir,EG,31.3203016,30.0641979
EGALY,El Iskandariya (Alexandria),El Iskandariya (Alexandria),EG,31.18333,29.91667
EGAQU,Al Qusayr,Al Qusayr,EG,26.1,34.28333
EGARY,Al Amriyah,Al Amriyah,EG,31.58333,30.96667
EGAUE,Abu Rudeis,Abu Rudeis,EG,28.883333,33.183333
EGAZA,Abu Zenimah,Abu Zenimah,EG,29.05,33.1
EGBGB,Atakka Dry Port,Atakka Dry Port,EG,32.1,33
EGDAM,Dumyat (Damietta),Dumyat (Damietta),EG,31.41667,31.81667
EGDOM,Dome Marina,Dome Marina,EG,29.43333,32.48333
EGEDK,El Dekheila,El Dekheila,EG,31.131478,29.8031902
EGEPP,Marsa Egyptian Propylene & Polypropylene,Marsa Egyptian Propylene & Polypropylene,EG,31.3,32.15
EGGAL,Galala Marina,Galala Marina,EG,29.46667,32.43333
